Label,MBI,MNDWI,NDVI,SAVI
1,0.236306,-0.286387,0.157519,0.374216
1,0.228618,-0.290334,0.147272,0.416324
2,0.0554908,-0.338328,0.630003,0.987477
2,0.143602,-0.34522,0.540422,0.829073
2,0.0639459,-0.336404,0.633786,0.992148
2,0.0660062,-0.326931,0.654248,1.0076
2,0.0485724,-0.370632,0.689918,1.05451
2,0.061668,-0.346,0.639395,0.9854
2,0.0590954,-0.284681,0.604967,0.964373
2,0.0693489,-0.315971,0.621403,0.948548
2,0.104516,-0.320049,0.585265,0.906575
2,0.0918185,-0.281466,0.583914,0.913325
2,0.0792825,-0.366389,0.611871,0.959317
2,0.105637,-0.355501,0.560646,0.905995
2,0.0625879,-0.335411,0.643902,0.999501
2,0.0808339,-0.351654,0.593744,0.952766
2,0.0873554,-0.353401,0.638509,0.958919
2,0.0646099,-0.334619,0.649689,0.972406
2,0.0607897,-0.340654,0.642269,0.98943
2,0.066793,-0.335011,0.627877,0.985374
2,0.0557064,-0.300269,0.632961,0.959431
2,0.100881,-0.331113,0.568891,0.907631
2,0.0727813,-0.337487,0.657393,1.00924
2,0.0763233,-0.322914,0.605091,0.920154
2,0.0892492,-0.319344,0.589132,0.899827
2,0.118245,-0.306009,0.561677,0.860966
2,0.074649,-0.342573,0.615821,0.96431
2,0.0610676,-0.353394,0.633794,0.992465
2,0.0881182,-0.330182,0.612262,0.944166
2,0.0492985,-0.336019,0.659645,1.00424
2,0.0797412,-0.342497,0.642476,0.988861
2,0.0997328,-0.357841,0.584735,0.94489
2,0.0649886,-0.338194,0.637203,0.983199
2,0.0826576,-0.311574,0.64265,0.973387
2,0.0750431,-0.327727,0.625373,0.969895
2,0.071912,-0.346929,0.632679,0.981936
2,0.0706695,-0.334161,0.623841,0.946818
2,0.0489395,-0.330974,0.657013,1.00153
2,0.0612255,-0.32373,0.638649,0.97577
2,0.0629688,-0.32282,0.633829,0.976765
2,0.0801094,-0.334265,0.625102,0.962136
2,0.0575285,-0.330069,0.606029,0.9674
2,0.0827411,-0.349001,0.624218,0.953656
2,0.0904008,-0.348858,0.560694,0.926229
2,0.0539494,-0.267531,0.568767,0.895607
2,0.0374105,-0.296025,0.604643,0.951834
2,0.0646375,-0.31744,0.606332,0.941096
2,0.145936,-0.309281,0.49368,0.804056
2,0.133959,-0.315918,0.544801,0.840038
2,0.0643924,-0.308682,0.616381,0.955973
2,0.042758,-0.337134,0.639257,0.990586
2,0.068908,-0.324318,0.616949,0.951836
2,0.082965,-0.355758,0.612903,0.962004
2,0.0524388,-0.303854,0.625498,0.9521
2,0.0948563,-0.315343,0.62308,0.905986
2,0.0738737,-0.331356,0.634143,0.956642
2,0.0682829,-0.301018,0.614374,0.937125
2,0.0887,-0.275415,0.529549,0.844876
2,0.0677095,-0.301731,0.581658,0.911026
2,0.0340442,-0.259298,0.612196,0.930246
2,0.0570427,-0.314286,0.628271,0.962895
2,0.0242046,-0.249562,0.610308,0.944672
3,0.173748,0.0492505,0.0131086,0.018203
3,0.168605,0.073328,-0.0149648,0.0144832
3,0.189479,0.281094,-0.122885,-0.20049
3,0.171002,0.129935,-0.00810811,0.00266845
3,0.177112,0.237634,-0.0669111,-0.0847841
3,0.177616,0.123869,-0.0125174,-0.0125087
3,0.162763,0.0940376,0.00314324,0.0229108
4,0.106567,0.315521,-0.0448934,-0.111306
4,0.115565,0.26207,-0.0191083,-0.0533496
4,0.128065,0.164807,-0.00428082,0.0114513
4,0.131429,0.143408,0.0448485,0.0257601
4,0.129954,0.223362,-0.0190439,-0.0591893
4,0.134591,0.137396,0.00243987,0.0170244
4,0.125723,0.11961,0.00575476,0.047076
4,0.109818,0.224461,-0.0193026,-0.0207575
4,0.121868,0.196252,-0.0320835,0.00115933
4,0.115123,0.184992,-0.0241306,0.00639462
4,0.121797,0.205406,-0.0229058,-0.00973339
4,0.123532,0.155459,0.01162,0.0130656
4,0.127263,0.145907,-0.0446111,0.0113548
4,0.128089,0.129173,0.0339384,0.0413699
4,0.134624,0.124923,-0.000380662,0.0168889
4,0.117051,0.178106,-0.00974989,0.024025
4,0.123712,0.300997,0.00569715,-0.106819
4,0.112061,0.175871,-0.0145383,0.0335291
